"x","y"
-94.708,41.0339
-91.3789,43.2846
-92.8731,40.7443
-94.9153,41.6837
-92.0693,42.0771
-92.3141,42.4664
-93.938,42.0338
-92.3226,42.7767
-91.8408,42.4694
-95.1593,42.7373
-92.7928,42.7316
-94.65,42.3846
-94.8697,42.0343
-94.9357,41.3336
-91.1346,41.7709
-93.2638,43.082
-95.6337,42.7389
-92.3215,43.0652
-93.7905,41.0314
-95.1605,43.0831
-91.3427,42.8478
-90.5358,41.8991
-95.3887,42.0355
-94.0473,41.6822
-92.4175,40.7494
-93.791,40.7395
-91.3704,42.4711
-91.1878,40.9218
-95.1592,43.3763
-90.883,42.4718
-94.6888,43.3757
-91.8489,42.8631
-92.7931,43.0629
-93.2644,42.7318
-95.6093,40.7501
-94.4048,42.0342
-92.7979,42.3993
-94.5108,41.6828
-93.7132,42.3819
-93.7406,43.0821
-93.2465,42.3801
-95.8203,41.6848
-91.5454,40.9862
-92.3191,43.3577
-94.2163,42.7802
-95.5231,42.3877
-92.0663,41.6836
-90.5735,42.1735
-93.0573,41.6874
-91.9499,41.0306
-91.5899,41.6682
-91.1336,42.1215
-92.1812,41.3353
-94.2168,43.206
-91.4838,40.6418
-91.6025,42.075
-91.2608,41.2177
-93.3313,41.0307
-96.2135,43.3814
-94.024,41.3325
-92.6442,41.3352
-93.1019,41.3354
-93.0056,42.0355
-95.6271,41.0363
-92.7939,43.3575
-95.9647,42.0502
-92.8716,41.0306
-95.1648,41.035
-91.1102,41.4829
-95.635,43.0856
-95.6321,43.3778
-95.159,40.7442
-94.6883,43.0826
-96.2201,42.7421
-94.6875,42.7363
-93.5783,41.6844
-95.5483,41.3395
-92.5341,41.6867
-94.2508,40.7373
-95.1144,42.3853
-90.6251,41.6379
-95.3173,41.6847
-96.185,43.0869
-93.4711,42.0343
-92.539,42.0782
-94.7064,40.7423
-94.2497,41.0316
-91.9541,40.7523
-92.4138,41.0306
-93.5666,41.334
-91.7166,41.334
-93.3319,40.7413
-94.1907,42.4291
-93.739,43.3767
-91.8456,43.2913
-96.051,42.3911
-93.2651,43.3773
-93.7382,42.7335
-83.5941,44.6858
-86.5941,46.4121
-85.9008,42.5948
-83.6364,45.0362
-85.1504,45.0021
-83.8937,44.0698
-88.3617,46.663
-85.3117,42.5992
-83.9933,43.7113
-86.0198,44.6397
-86.4235,41.9616
-85.064,41.9186
-85.0123,42.25
-85.9984,41.9192
-85.0399,45.2252
-84.4971,45.4477
-84.6205,46.3029
-84.8515,43.9929
-84.6036,42.9494
-84.6144,44.6861
-86.917,45.9188
-87.8656,46.0106
-84.8425,42.5993
-84.8889,45.5228
-83.7082,43.0257
-84.3896,43.9963
-89.6846,46.4112
-85.5628,44.6581
-84.6062,43.2987
-84.5942,41.8914
-88.6906,46.8906
-83.0197,43.8372
-84.3761,42.6009
-85.0765,42.9501
-83.6412,44.3601
-88.5249,46.2118
-84.8504,43.6436
-84.428,42.2518
-85.5337,42.2505
-85.0934,44.6863
-85.553,43.0356
-88.4079,47.5923
-85.8033,43.9935
-83.2202,43.0941
-85.8071,44.9104
-84.0659,41.8949
-83.9131,42.6067
-85.5387,46.4729
-85.1176,46.0959
-82.9326,42.7012
-86.0588,44.3378
-87.6361,46.4321
-86.2517,43.9989
-85.3269,43.643
-87.5534,45.5852
-84.3912,43.6501
-85.0938,44.3419
-83.5376,41.9254
-85.1539,43.3157
-84.1271,45.0305
-86.1487,43.2934
-85.8015,43.5573
-83.3872,42.6647
-86.2653,43.6426
-84.1298,44.34
-89.3091,46.6683
-85.3276,43.9926
-84.1319,44.6837
-84.602,45.0242
-86.0082,42.963
-83.92,45.3433
-84.6148,44.3399
-84.052,43.339
-82.6844,42.9539
-85.5322,41.9184
-82.8194,43.4287
-86.1931,46.1987
-84.1485,42.9563
-83.4171,43.4698
-86.026,42.2554
-83.8425,42.2577
-83.2913,42.2893
-85.5781,44.341
-93.4141,46.6051
-93.2489,45.275
-95.677,46.9348
-94.9393,47.9753
-93.9971,45.6974
-96.4185,45.4272
-94.071,44.0361
-94.7286,44.2417
-92.6742,46.5906
-93.8061,44.8229
-94.3263,46.9488
-95.5692,45.0249
-92.9048,45.5033
-96.4907,46.8917
-95.3821,47.5788
-90.5372,47.898
-95.1866,44.0076
-94.0697,46.4801
-93.0684,44.6751
-92.8663,44.0215
-95.4534,45.9327
-93.9497,43.6743
-92.0916,43.6726
-93.3534,43.6739
-92.7231,44.4109
-96.0121,45.9328
-93.478,45.0077
-91.49,43.6708
-94.9176,47.1094
-93.2967,45.5631
-93.6321,47.5102
-95.1607,43.6733
-93.2923,45.9448
-95.0065,45.153
-96.7831,48.7758
-93.7832,48.2464
-96.1767,44.9946
-91.447,47.6317
-94.9036,48.7717
-93.7353,44.3731
-96.2701,44.4124
-95.8394,44.4139
-94.2729,44.8247
-95.8132,47.327
-96.3624,48.3581
-94.5528,43.6727
-94.5289,45.124
-93.6306,45.9344
-94.2652,46.0107
-92.7559,43.6708
-95.7685,44.022
-94.2509,44.3518
-95.7609,43.6731
-96.4582,47.328
-92.4058,44.0035
-95.7105,46.4073
-96.036,48.066
-92.7367,46.1207
-96.2624,44.0236
-96.4003,47.7745
-95.4428,45.5862
-93.0994,45.023
-96.0992,47.8732
-95.2535,44.4053
-94.9467,44.7279
-93.2998,44.3552
-96.2592,43.6734
-95.8137,48.777
-92.4699,47.6061
-93.5414,44.6502
-93.7772,45.4463
-94.2364,44.5809
-94.6127,45.5526
-93.2308,44.0217
-96.0005,45.5851
-95.6869,45.2834
